INFO | _client | L1026 | 2024-12-17T05:25:34+0000: HTTP Request: GET https://gplay-ver.atlasacademy.workers.dev/?id=com.aniplex.fategrandorder.en "HTTP/1.1 500 Internal Server Error"
INFO | update | L26 | 2024-12-17T05:25:34+0000: Current installed version: 2.72.0, up-to-date with the latest available version: Google Play page returns status code 429 Too Many Requests.
INFO | download | L8 | 2024-12-17T05:25:34+0000: Creating folder...
INFO | download | L13 | 2024-12-17T05:25:34+0000: Downloading latest apk...!
INFO | _client | L1026 | 2024-12-17T05:25:35+0000: HTTP Request: GET https://fgo.bigcereal.com/apk/com.aniplex.fategrandorder.en.xapk "HTTP/1.1 302 Found"
INFO | _client | L1026 | 2024-12-17T05:25:35+0000: HTTP Request: GET https://static.atlasacademy.io/apk/com.aniplex.fategrandorder.en.xapk "HTTP/1.1 200 "
INFO | download | L22 | 2024-12-17T05:25:36+0000: Apk downloaded!
INFO | decompile | L15 | 2024-12-17T05:25:36+0000: XAPK detected. Merging into APK files.
INFO | decompile | L35 | 2024-12-17T05:25:38+0000: 00.000 I: [MERGE] Using: APKEditor version 1.3.9, ARSCLib version 1.3.5
INFO | decompile | L35 | 2024-12-17T05:25:38+0000: 00.093 I: [MERGE] Merging ...
INFO | decompile | L35 | 2024-12-17T05:25:38+0000:    Input: D:\a\FGO-JP-NA-VerCode-Extractor\FGO-JP-NA-VerCode-Extractor\temp\com.aniplex.fategrandorder.en.xapk
INFO | decompile | L35 | 2024-12-17T05:25:38+0000:  Output: D:\a\FGO-JP-NA-VerCode-Extractor\FGO-JP-NA-VerCode-Extractor\temp\com.aniplex.fategrandorder.en.apk
INFO | decompile | L35 | 2024-12-17T05:25:38+0000:  ---------------------------- 
INFO | decompile | L35 | 2024-12-17T05:25:38+0000: 00.093 I: [MERGE] Extracting to: D:\a\FGO-JP-NA-VerCode-Extractor\FGO-JP-NA-VerCode-Extractor\temp\tmp_ac4f95d9
INFO | decompile | L35 | 2024-12-17T05:25:38+0000:  00.360 [MERGE] Extracting [39.126 Mb] com.aniplex.fategrandorder.en.apk
INFO | decompile | L35 | 2024-12-17T05:25:38+0000:  00.439 [MERGE] Extracting [33.485 Mb] config.armeabi_v7a.apk
INFO | decompile | L35 | 2024-12-17T05:25:38+0000: 00.470 I: [MERGE] Searching apk files ...
INFO | decompile | L35 | 2024-12-17T05:25:38+0000: 00.470 I: [MERGE] Found apk files: 2
INFO | decompile | L35 | 2024-12-17T05:25:38+0000:  00.470 [MERGE] Loading: com.aniplex.fategrandorder.en.apk
INFO | decompile | L35 | 2024-12-17T05:25:38+0000:  00.532 [MERGE] Loading: config.armeabi_v7a.apk
INFO | decompile | L35 | 2024-12-17T05:25:38+0000: 00.532 I: [MERGE] Found modules: 2
INFO | decompile | L35 | 2024-12-17T05:25:38+0000: 00.657 I: [MERGE] Merging: com.aniplex.fategrandorder.en
INFO | decompile | L35 | 2024-12-17T05:25:38+0000: 00.657 I: [MERGE] Added [com.aniplex.fategrandorder.en] classes.dex -> classes.dex
INFO | decompile | L35 | 2024-12-17T05:25:38+0000: 00.657 I: [MERGE] Added [com.aniplex.fategrandorder.en] classes2.dex -> classes2.dex
INFO | decompile | L35 | 2024-12-17T05:25:38+0000:  00.720 [MERGE] Added: DebugProbesKt.bin
INFO | decompile | L35 | 2024-12-17T05:25:38+0000:  00.720 [MERGE] Added: META-INF/androidx.activity_activity.version
INFO | decompile | L35 | 2024-12-17T05:25:38+0000:  00.720 [MERGE] Added: META-INF/androidx.annotation_annotation-experimental.vers
INFO | decompile | L35 | 2024-12-17T05:25:38+0000:  00.720 [MERGE] Added: META-INF/androidx.arch.core_core-runtime.version
INFO | decompile | L35 | 2024-12-17T05:25:38+0000:  00.720 [MERGE] Added: META-INF/androidx.core_core-ktx.version
INFO | decompile | L35 | 2024-12-17T05:25:38+0000:  00.720 [MERGE] Added: META-INF/androidx.core_core.version
INFO | decompile | L35 | 2024-12-17T05:25:38+0000:  00.720 [MERGE] Added: META-INF/androidx.customview_customview.version
INFO | decompile | L35 | 2024-12-17T05:25:38+0000:  00.720 [MERGE] Added: META-INF/androidx.documentfile_documentfile.version
INFO | decompile | L35 | 2024-12-17T05:25:38+0000:  00.720 [MERGE] Added: META-INF/androidx.fragment_fragment.version
INFO | decompile | L35 | 2024-12-17T05:25:38+0000:  00.720 [MERGE] Added: META-INF/androidx.legacy_legacy-support-core-utils.versio
INFO | decompile | L35 | 2024-12-17T05:25:38+0000:  00.720 [MERGE] Added: META-INF/androidx.lifecycle_lifecycle-livedata-core.versi
INFO | decompile | L35 | 2024-12-17T05:25:38+0000:  00.735 [MERGE] Added: META-INF/androidx.lifecycle_lifecycle-livedata.version
INFO | decompile | L35 | 2024-12-17T05:25:38+0000:  00.735 [MERGE] Added: META-INF/androidx.lifecycle_lifecycle-runtime.version
INFO | decompile | L35 | 2024-12-17T05:25:38+0000:  00.735 [MERGE] Added: META-INF/androidx.lifecycle_lifecycle-viewmodel-savedstat
INFO | decompile | L35 | 2024-12-17T05:25:38+0000:  00.735 [MERGE] Added: META-INF/androidx.lifecycle_lifecycle-viewmodel.version
INFO | decompile | L35 | 2024-12-17T05:25:38+0000:  00.735 [MERGE] Added: META-INF/androidx.loader_loader.version
INFO | decompile | L35 | 2024-12-17T05:25:38+0000:  00.735 [MERGE] Added: META-INF/androidx.localbroadcastmanager_localbroadcastman
INFO | decompile | L35 | 2024-12-17T05:25:38+0000:  00.735 [MERGE] Added: META-INF/androidx.print_print.version
INFO | decompile | L35 | 2024-12-17T05:25:38+0000:  00.735 [MERGE] Added: META-INF/androidx.privacysandbox.ads_ads-adservices-java.
INFO | decompile | L35 | 2024-12-17T05:25:38+0000:  00.735 [MERGE] Added: META-INF/androidx.privacysandbox.ads_ads-adservices.versi
INFO | decompile | L35 | 2024-12-17T05:25:38+0000:  00.735 [MERGE] Added: META-INF/androidx.savedstate_savedstate.version
INFO | decompile | L35 | 2024-12-17T05:25:38+0000:  00.735 [MERGE] Added: META-INF/androidx.tracing_tracing.version
INFO | decompile | L35 | 2024-12-17T05:25:38+0000:  00.735 [MERGE] Added: META-INF/androidx.versionedparcelable_versionedparcelable
INFO | decompile | L35 | 2024-12-17T05:25:38+0000:  00.735 [MERGE] Added: META-INF/androidx.viewpager_viewpager.version
INFO | decompile | L35 | 2024-12-17T05:25:38+0000:  00.735 [MERGE] Added: META-INF/com.android.games.engine.build_fingerprint
INFO | decompile | L35 | 2024-12-17T05:25:38+0000:  00.735 [MERGE] Added: META-INF/kotlinx_coroutines_core.version
